Timestamp,Your Academic Stage,Peer pressure,Academic pressure from your home,Study Environment,What coping strategy you use as a student?,"Do you have any bad habits like smoking, drinking on a daily basis?",What would you rate the academic  competition in your student life,Rate your academic stress index ,given_label,predicted_label,suggested_label,self_confidence,alternative_prob,quality_score,is_label_issue,rank
24/07/2025 22:05:39,undergraduate,4,5,Noisy,Analyze the situation and handle it with intellect,No,3,5,5,2,2,0.18584924554047574,0.22146609074999035,0.18584924554047574,True,0
24/07/2025 22:05:52,undergraduate,3,4,Peaceful,Analyze the situation and handle it with intellect,No,3,3,3,2,2,0.20411859032509108,0.21878938780606663,0.20411859032509108,True,1
24/07/2025 22:06:39,undergraduate,1,1,Peaceful,"Social support (friends, family)",No,2,4,4,2,2,0.2047581778363217,0.22039313832395757,0.2047581778363217,True,2
24/07/2025 22:06:45,undergraduate,3,2,Peaceful,Analyze the situation and handle it with intellect,No,4,3,3,2,2,0.20161207403768458,0.22146609074999035,0.20161207403768458,True,3
24/07/2025 22:08:06,undergraduate,3,3,Peaceful,Analyze the situation and handle it with intellect,No,4,5,5,2,2,0.18991823856333148,0.21791254429000853,0.18991823856333148,True,4
24/07/2025 22:08:13,undergraduate,3,3,Peaceful,Analyze the situation and handle it with intellect,No,4,4,4,2,2,0.20322389595601803,0.21878938780606663,0.20322389595601803,True,5
24/07/2025 22:09:21,undergraduate,5,5,disrupted,Emotional breakdown (crying a lot),No,4,4,4,2,2,0.20322389595601803,0.21878938780606663,0.20322389595601803,True,6
24/07/2025 22:10:06,undergraduate,3,2,Peaceful,"Social support (friends, family)",No,3,3,3,2,2,0.20214591769769114,0.22227720870590276,0.20214591769769114,True,7
24/07/2025 22:11:01,undergraduate,2,2,Peaceful,Analyze the situation and handle it with intellect,No,2,2,5,2,2,0.17967021515801393,0.22227720870590276,0.17967021515801393,True,8
24/07/2025 22:11:19,undergraduate,2,2,Peaceful,Analyze the situation and handle it with intellect,No,4,2,3,2,2,0.20411859032509108,0.21878938780606663,0.20411859032509108,True,9
24/07/2025 22:12:12,undergraduate,3,2,disrupted,Emotional breakdown (crying a lot),No,3,5,4,1,1,0.10099134463928648,0.4605022144387706,0.10099134463928648,True,10
24/07/2025 22:12:24,undergraduate,4,5,Peaceful,Analyze the situation and handle it with intellect,No,3,3,4,2,2,0.20990754812793347,0.22227720870590276,0.20990754812793347,True,11
24/07/2025 22:12:27,undergraduate,2,3,Noisy,Emotional breakdown (crying a lot),No,2,2,5,2,2,0.18379857307017153,0.21878938780606663,0.18379857307017153,True,12
24/07/2025 22:12:48,undergraduate,2,3,disrupted,Analyze the situation and handle it with intellect,No,4,2,4,2,2,0.2047581778363217,0.22039313832395757,0.2047581778363217,True,13
24/07/2025 22:14:16,undergraduate,3,4,disrupted,"Social support (friends, family)",prefer not to say,3,4,3,2,2,0.20606474752934176,0.22103034433565213,0.20606474752934176,True,14
24/07/2025 22:15:06,undergraduate,5,5,Noisy,Analyze the situation and handle it with intellect,No,4,4,3,2,2,0.20411859032509108,0.21878938780606663,0.20411859032509108,True,15
24/07/2025 22:15:39,undergraduate,3,3,Peaceful,Analyze the situation and handle it with intellect,No,5,5,4,2,2,0.20156637379211212,0.21255332809604596,0.20156637379211212,True,16
24/07/2025 22:16:10,undergraduate,3,5,disrupted,Analyze the situation and handle it with intellect,No,5,4,3,2,2,0.19368301207019883,0.21255332809604596,0.19368301207019883,True,17
24/07/2025 22:16:53,undergraduate,3,3,Peaceful,Emotional breakdown (crying a lot),No,4,3,3,2,2,0.20606474752934176,0.22103034433565213,0.20606474752934176,True,18
24/07/2025 22:17:46,undergraduate,3,4,Peaceful,"Social support (friends, family)",No,4,3,3,2,2,0.20340605411936988,0.21791254429000853,0.20340605411936988,True,19
24/07/2025 22:18:02,undergraduate,4,3,Peaceful,Analyze the situation and handle it with intellect,No,4,4,4,2,2,0.20734171960947684,0.2193372016632396,0.20734171960947684,True,20
