index,given_label,predicted_label,suggested_label,self_confidence,alternative_prob,quality_score,is_label_issue,rank
0,5,2,2,0.18584924554047574,0.22146609074999035,0.18584924554047574,True,0
1,3,2,2,0.20411859032509108,0.21878938780606663,0.20411859032509108,True,1
2,4,2,2,0.2047581778363217,0.22039313832395757,0.2047581778363217,True,2
3,3,2,2,0.20161207403768458,0.22146609074999035,0.20161207403768458,True,3
4,5,2,2,0.18991823856333148,0.21791254429000853,0.18991823856333148,True,4
5,4,2,2,0.20322389595601803,0.21878938780606663,0.20322389595601803,True,5
6,4,2,2,0.20322389595601803,0.21878938780606663,0.20322389595601803,True,6
7,3,2,2,0.20214591769769114,0.22227720870590276,0.20214591769769114,True,7
10,5,2,2,0.17967021515801393,0.22227720870590276,0.17967021515801393,True,8
11,3,2,2,0.20411859032509108,0.21878938780606663,0.20411859032509108,True,9
14,4,1,1,0.10099134463928648,0.4605022144387706,0.10099134463928648,True,10
15,4,2,2,0.20990754812793347,0.22227720870590276,0.20990754812793347,True,11
16,5,2,2,0.18379857307017153,0.21878938780606663,0.18379857307017153,True,12
17,4,2,2,0.2047581778363217,0.22039313832395757,0.2047581778363217,True,13
18,3,2,2,0.20606474752934176,0.22103034433565213,0.20606474752934176,True,14
19,3,2,2,0.20411859032509108,0.21878938780606663,0.20411859032509108,True,15
20,4,2,2,0.20156637379211212,0.21255332809604596,0.20156637379211212,True,16
21,3,2,2,0.19368301207019883,0.21255332809604596,0.19368301207019883,True,17
22,3,2,2,0.20606474752934176,0.22103034433565213,0.20606474752934176,True,18
23,3,2,2,0.20340605411936988,0.21791254429000853,0.20340605411936988,True,19
24,4,2,2,0.20734171960947684,0.2193372016632396,0.20734171960947684,True,20
25,4,2,2,0.2047581778363217,0.22039313832395757,0.2047581778363217,True,21
27,4,2,2,0.20590129008013824,0.21791254429000853,0.20590129008013824,True,22
28,5,2,2,0.17885438127342826,0.22103034433565213,0.17885438127342826,True,23
29,4,2,2,0.20990754812793347,0.22227720870590276,0.20990754812793347,True,24
31,4,2,2,0.20734171960947684,0.2193372016632396,0.20734171960947684,True,25
32,3,2,2,0.20214591769769114,0.22227720870590276,0.20214591769769114,True,26
33,1,5,5,0.06740324378278377,0.3542460449013016,0.06740324378278377,True,27
34,3,1,1,0.13375593621316906,0.42913058189963355,0.13375593621316906,True,28
35,4,2,2,0.20590129008013824,0.21791254429000853,0.20590129008013824,True,29
36,3,5,5,0.13782294525927594,0.5639240001837477,0.13782294525927594,True,30
37,4,2,2,0.20990754812793347,0.22227720870590276,0.20990754812793347,True,31
38,4,2,2,0.20567656495052047,0.22146609074999035,0.20567656495052047,True,32
39,4,2,2,0.20322389595601803,0.21878938780606663,0.20322389595601803,True,33
40,5,2,2,0.17773537327362424,0.2193372016632396,0.17773537327362424,True,34
41,3,2,2,0.20066725298789925,0.22039313832395757,0.20066725298789925,True,35
42,5,2,2,0.17885438127342826,0.22103034433565213,0.17885438127342826,True,36
43,5,2,2,0.1891842057338144,0.22039313832395757,0.1891842057338144,True,37
45,3,2,2,0.20161207403768458,0.22146609074999035,0.20161207403768458,True,38
46,5,1,1,0.0903183962913594,0.5201282673067257,0.0903183962913594,True,39
47,4,2,2,0.20567656495052047,0.22146609074999035,0.20567656495052047,True,40
49,3,2,2,0.19368301207019883,0.21255332809604596,0.19368301207019883,True,41
50,3,2,2,0.20606474752934176,0.22103034433565213,0.20606474752934176,True,42
51,4,2,2,0.2047581778363217,0.22039313832395757,0.2047581778363217,True,43
52,4,2,2,0.20567656495052047,0.22146609074999035,0.20567656495052047,True,44
53,3,5,5,0.13666405417814784,0.5287275268843383,0.13666405417814784,True,45
54,4,5,5,0.15209143578200188,0.5639240001837477,0.15209143578200188,True,46
55,4,2,2,0.2047581778363217,0.22039313832395757,0.2047581778363217,True,47
56,4,1,1,0.10571466457762764,0.4983789661118323,0.10571466457762764,True,48
57,3,2,2,0.20511476726281905,0.2193372016632396,0.20511476726281905,True,49
58,5,2,2,0.1796439579455985,0.21255332809604596,0.1796439579455985,True,50
59,4,2,2,0.20880724646693974,0.22103034433565213,0.20880724646693974,True,51
61,4,2,2,0.20880724646693974,0.22103034433565213,0.20880724646693974,True,52
62,4,2,2,0.20156637379211212,0.21255332809604596,0.20156637379211212,True,53
63,3,2,2,0.20161207403768458,0.22146609074999035,0.20161207403768458,True,54
65,5,2,2,0.18991823856333148,0.21791254429000853,0.18991823856333148,True,55
